Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
Howell Inc,Cloud Optimization,36 months,FedRAMP,99.99%,30,17365,996,18361,0.100871992437376,0.83583326090984,0.18422913027198395
Harper Group,Multi-Cloud Management,36 months,SOC2,99.99%,30,37873,2834,40707,0.010640647771247918,0.5953577798139739,0.22001259865138545
Harris-Watkins,Multi-Cloud Management,36 months,FedRAMP,99.99%,30,31683,3462,35145,0.09583176084097912,0.9497597947128548,0.04874485535375528
Higgins-Davila,AI-Powered Security,36 months,ISO 27001,99.99%,90,29093,675,29768,0.06890178045881157,0.688639618853709,0.44458090301506525
"Hansen, Francis and Smith",AI-Powered Security,36 months,HIPAA,99.99%,45,23456,3913,27369,0.06055322661849957,0.6084032276220502,0.7529994754336213
Robles PLC,Multi-Cloud Management,24 months,SOC2,99.99%,30,20656,3003,23659,0.07861349513316862,0.5616633369429792,0.7317196171082654
"Walters, Barnes and Trevino",Multi-Cloud Management,12 months,HIPAA,99.95%,30,26498,3541,30039,0.025532195232300724,0.022220639519938357,0.3369831224412506
Poole-Austin,AI-Powered Security,36 months,ISO 27001,99.99%,90,23917,2702,26619,0.14297738953663278,0.9854753990044323,0.4219693806087417
Moses-Carter,Multi-Cloud Management,36 months,ISO 27001,99.95%,90,20284,3065,23349,0.12173293960167299,0.533588939380301,0.33612153583464877
Gillespie-Green,AI-Powered Security,12 months,ISO 27001,99.9%,60,28328,656,28984,0.11296295916619939,0.9619718697740708,0.29585116521204413
"Spencer, Crosby and Griffith",Cloud Optimization,24 months,HIPAA,99.9%,90,18499,3413,21912,0.08971768178033035,0.7543547925485486,0.713808649676779
"Brown, Davis and Ramirez",AI-Powered Security,24 months,SOC2,99.99%,60,29108,4385,33493,0.11048369734964242,0.7931143766896918,0.22069103283905533
Jones and Sons,AI-Powered Security,36 months,HIPAA,99.95%,30,21405,3559,24964,0.1286416852988336,0.06383099202611353,0.9532763907787299
Dixon and Sons,Multi-Cloud Management,12 months,SOC2,99.99%,45,31017,4953,35970,0.06476737412482439,0.8892014984609,0.3119388821568376
Gibbs Ltd,Cloud Optimization,12 months,HIPAA,99.95%,30,28683,4082,32765,0.14954803513362924,0.17335793021138268,0.14548264959926016
Oliver LLC,Cloud Optimization,12 months,ISO 27001,99.95%,60,21587,2915,24502,0.028696592704768223,0.9731313883615972,0.2865459177184627
Hampton-Johnston,Multi-Cloud Management,12 months,FedRAMP,99.95%,90,29655,2745,32400,0.1382051104049278,0.5600043640772588,0.04511099552039388
James and Sons,Multi-Cloud Management,36 months,FedRAMP,99.95%,60,26704,2387,29091,0.08575786506375635,0.34365857966273505,0.4215293648470272
Lyons Inc,Multi-Cloud Management,36 months,HIPAA,99.95%,45,36942,2012,38954,0.14948351088521236,0.8025265348633159,0.8291514031551532
Ferguson and Sons,Multi-Cloud Management,36 months,SOC2,99.9%,60,28336,3134,31470,0.12871168851398943,0.2617814826920877,0.6931232121767075
Bentley LLC,AI-Powered Security,12 months,HIPAA,99.95%,60,21894,4346,26240,0.14443581345742962,0.9350876800409245,0.16312837299298855
Parks Group,Cloud Optimization,24 months,SOC2,99.9%,60,15568,2445,18013,0.08708239828005598,0.026352912229547387,0.8255406915073545
"Thomas, Holden and Lee",AI-Powered Security,36 months,FedRAMP,99.95%,90,29991,4857,34848,0.14457134544314992,0.39559918184982734,0.02629444066838671
Ruiz Inc,AI-Powered Security,36 months,SOC2,99.9%,45,19352,544,19896,0.07419507945298766,0.06352339750597513,0.27559261664396983
"Smith, Mendez and Mccarty",AI-Powered Security,24 months,HIPAA,99.9%,60,32309,3268,35577,0.09580658726443118,0.5763088198890566,0.48426042944661274
Taylor-Brown,Multi-Cloud Management,36 months,SOC2,99.95%,60,29812,3819,33631,0.029947202877200117,0.5833204782437709,0.6774346844463005
Bell Inc,Cloud Optimization,36 months,SOC2,99.99%,30,29672,840,30512,0.11488191875247845,0.22986863437336924,0.2907012606932192
"Compton, Stevens and Coleman",Cloud Optimization,12 months,ISO 27001,99.9%,60,23353,2995,26348,0.12781990794290793,0.7304362943536913,0.6986153060111209
"Smith, Yu and Turner",AI-Powered Security,36 months,SOC2,99.9%,90,26484,4150,30634,0.1113855166113684,0.3309118856783746,0.7221475187427966
Holder Ltd,Multi-Cloud Management,24 months,ISO 27001,99.9%,30,26900,2660,29560,0.022554583550373413,0.7989023148204372,0.5614463836902922
"White, Lutz and Riley",Multi-Cloud Management,36 months,ISO 27001,99.95%,30,28255,3199,31454,0.1425148078556731,0.702739488390535,0.320172290621358
"Cole, Duarte and Russell",Cloud Optimization,36 months,FedRAMP,99.99%,30,24607,861,25468,0.12285480312545594,0.5727679028775595,0.028231052949068136
"Bradley, Warner and Rocha",Multi-Cloud Management,12 months,ISO 27001,99.99%,45,24742,2352,27094,0.07499752974072527,0.570570709130388,0.7129057903648376
"Palmer, Choi and Hahn",Cloud Optimization,36 months,ISO 27001,99.99%,30,24799,4022,28821,0.078873158440968,0.8667837779383459,0.26253569549592404
"Miles, Cunningham and Tucker",Cloud Optimization,12 months,ISO 27001,99.99%,45,15588,1070,16658,0.08020001323393236,0.4225333548849768,0.28422585063754247
Jones Inc,Cloud Optimization,12 months,FedRAMP,99.9%,60,24744,1535,26279,0.07950369552374253,0.13083042857355243,0.1370520377520581
Thomas-Green,AI-Powered Security,24 months,HIPAA,99.9%,30,33337,4061,37398,0.06887990750930804,0.9952834031417301,0.9491780201157658
Richardson Group,Multi-Cloud Management,36 months,HIPAA,99.99%,90,39616,3322,42938,0.02559486855950664,0.21974691662810508,0.349384691669827
"Morton, Joseph and Henderson",Cloud Optimization,24 months,ISO 27001,99.95%,90,21967,3770,25737,0.12040068304738188,0.8934820383198383,0.49307565589314495
Williams PLC,AI-Powered Security,12 months,ISO 27001,99.99%,45,18832,1521,20353,0.0526111348324216,0.6821729782360418,0.5736798202909772
Osborne-Watson,Cloud Optimization,12 months,SOC2,99.99%,60,26151,539,26690,0.11594003105396333,0.7162943304868383,0.6109276227880288
Mcdonald-Proctor,AI-Powered Security,12 months,SOC2,99.9%,30,20508,4326,24834,0.06013399773999398,0.4053516136255215,0.09809436624098145
"Haynes, Mcintosh and Mitchell",AI-Powered Security,36 months,HIPAA,99.99%,30,30516,1228,31744,0.022839019516781498,0.044858336185385816,0.29240449356051346
Rogers-Jones,Multi-Cloud Management,36 months,HIPAA,99.9%,60,32657,1959,34616,0.14949013680823658,0.23232378953192756,0.27957100537056945
Manning Group,Cloud Optimization,12 months,FedRAMP,99.99%,90,22486,1605,24091,0.1472281521864441,0.8146978461200154,0.31478381581281056
Smith and Sons,Cloud Optimization,24 months,FedRAMP,99.9%,45,29702,3830,33532,0.14988691378260385,0.6525349649409644,0.3724111440144412
"Odonnell, Martin and Daniel",Multi-Cloud Management,24 months,ISO 27001,99.9%,45,31565,624,32189,0.13340064180321723,0.9694635295458321,0.7192713850692155
Thompson-Reese,AI-Powered Security,36 months,SOC2,99.95%,60,24817,2252,27069,0.10236092429329764,0.8452517957571815,0.00967253884691921
Douglas and Sons,Cloud Optimization,12 months,ISO 27001,99.99%,30,22381,4775,27156,0.1038101226406792,0.20161989881059528,0.05391245887605611
Bender LLC,Cloud Optimization,12 months,HIPAA,99.99%,30,26188,747,26935,0.1439902880681593,0.05701754401853876,0.038989419818228344
"Jones, Hines and George",AI-Powered Security,12 months,HIPAA,99.99%,45,21322,794,22116,0.04228406558989986,0.21906682185959947,0.9261328387732337
Fitzgerald-Ortiz,AI-Powered Security,36 months,HIPAA,99.99%,60,22231,3277,25508,0.02934134943782886,0.6104755113536787,0.4201280789956181
Ortiz PLC,Multi-Cloud Management,24 months,HIPAA,99.95%,60,39005,1072,40077,0.12825910945758312,0.6514787668852333,0.043725695427797806
"Gordon, Bennett and Mills",Multi-Cloud Management,24 months,ISO 27001,99.99%,60,34051,2658,36709,0.05935547316598781,0.6159310722250926,0.8908151473615851
Jones-Torres,Cloud Optimization,12 months,HIPAA,99.95%,60,18459,1621,20080,0.10865440598448277,0.0827475038898714,0.5910987992719926
Zamora LLC,Cloud Optimization,24 months,SOC2,99.9%,45,29675,4409,34084,0.11627141460680081,0.19303874129377752,0.5623363273917781
Price-Hall,AI-Powered Security,24 months,FedRAMP,99.9%,90,23492,2457,25949,0.03582780530522998,0.8876583284622761,0.33294036042219133
